F:\Brian\Code\MachineLearning_TermProject\data\IMG\center_2018_12_10_03_34_38_340.jpg,F:\Brian\Code\MachineLearning_TermProject\data\IMG\left_2018_12_10_03_34_38_340.jpg,F:\Brian\Code\MachineLearning_TermProject\data\IMG\right_2018_12_10_03_34_38_340.jpg,-1,1,0,4.147872
F:\Brian\Code\MachineLearning_TermProject\data\IMG\center_2018_12_10_03_34_38_410.jpg,F:\Brian\Code\MachineLearning_TermProject\data\IMG\left_2018_12_10_03_34_38_410.jpg,F:\Brian\Code\MachineLearning_TermProject\data\IMG\right_2018_12_10_03_34_38_410.jpg,-1,1,0,5.031898
F:\Brian\Code\MachineLearning_TermProject\data\IMG\center_2018_12_10_03_34_38_481.jpg,F:\Brian\Code\MachineLearning_TermProject\data\IMG\left_2018_12_10_03_34_38_481.jpg,F:\Brian\Code\MachineLearning_TermProject\data\IMG\right_2018_12_10_03_34_38_481.jpg,-1,1,0,5.695457
F:\Brian\Code\MachineLearning_TermProject\data\IMG\center_2018_12_10_03_34_38_548.jpg,F:\Brian\Code\MachineLearning_TermProject\data\IMG\left_2018_12_10_03_34_38_548.jpg,F:\Brian\Code\MachineLearning_TermProject\data\IMG\right_2018_12_10_03_34_38_548.jpg,-1,1,0,6.574476
F:\Brian\Code\MachineLearning_TermProject\data\IMG\center_2018_12_10_03_34_38_616.jpg,F:\Brian\Code\MachineLearning_TermProject\data\IMG\left_2018_12_10_03_34_38_616.jpg,F:\Brian\Code\MachineLearning_TermProject\data\IMG\right_2018_12_10_03_34_38_616.jpg,-1,1,0,7.228386
F:\Brian\Code\MachineLearning_TermProject\data\IMG\center_2018_12_10_03_34_38_687.jpg,F:\Brian\Code\MachineLearning_TermProject\data\IMG\left_2018_12_10_03_34_38_687.jpg,F:\Brian\Code\MachineLearning_TermProject\data\IMG\right_2018_12_10_03_34_38_687.jpg,0,1,0,8.009792
F:\Brian\Code\MachineLearning_TermProject\data\IMG\center_2018_12_10_03_34_38_754.jpg,F:\Brian\Code\MachineLearning_TermProject\data\IMG\left_2018_12_10_03_34_38_754.jpg,F:\Brian\Code\MachineLearning_TermProject\data\IMG\right_2018_12_10_03_34_38_754.jpg,0.1,1,0,8.589195
F:\Brian\Code\MachineLearning_TermProject\data\IMG\center_2018_12_10_03_34_38_822.jpg,F:\Brian\Code\MachineLearning_TermProject\data\IMG\left_2018_12_10_03_34_38_822.jpg,F:\Brian\Code\MachineLearning_TermProject\data\IMG\right_2018_12_10_03_34_38_822.jpg,0.25,0.8478385,0,9.160295
F:\Brian\Code\MachineLearning_TermProject\data\IMG\center_2018_12_10_03_34_38_892.jpg,F:\Brian\Code\MachineLearning_TermProject\data\IMG\left_2018_12_10_03_34_38_892.jpg,F:\Brian\Code\MachineLearning_TermProject\data\IMG\right_2018_12_10_03_34_38_892.jpg,0.45,0.6181248,0,9.72593
F:\Brian\Code\MachineLearning_TermProject\data\IMG\center_2018_12_10_03_34_38_963.jpg,F:\Brian\Code\MachineLearning_TermProject\data\IMG\left_2018_12_10_03_34_38_963.jpg,F:\Brian\Code\MachineLearning_TermProject\data\IMG\right_2018_12_10_03_34_38_963.jpg,0.6000001,0.4389468,0,9.985452
F:\Brian\Code\MachineLearning_TermProject\data\IMG\center_2018_12_10_03_34_39_032.jpg,F:\Brian\Code\MachineLearning_TermProject\data\IMG\left_2018_12_10_03_34_39_032.jpg,F:\Brian\Code\MachineLearning_TermProject\data\IMG\right_2018_12_10_03_34_39_032.jpg,0.8000001,0.401114,0,10.16314
F:\Brian\Code\MachineLearning_TermProject\data\IMG\center_2018_12_10_03_34_39_099.jpg,F:\Brian\Code\MachineLearning_TermProject\data\IMG\left_2018_12_10_03_34_39_099.jpg,F:\Brian\Code\MachineLearning_TermProject\data\IMG\right_2018_12_10_03_34_39_099.jpg,0,0.585179,0,10.37701
F:\Brian\Code\MachineLearning_TermProject\data\IMG\center_2018_12_10_03_34_39_165.jpg,F:\Brian\Code\MachineLearning_TermProject\data\IMG\left_2018_12_10_03_34_39_165.jpg,F:\Brian\Code\MachineLearning_TermProject\data\IMG\right_2018_12_10_03_34_39_165.jpg,0,0.8190162,0,10.9468
F:\Brian\Code\MachineLearning_TermProject\data\IMG\center_2018_12_10_03_34_39_234.jpg,F:\Brian\Code\MachineLearning_TermProject\data\IMG\left_2018_12_10_03_34_39_234.jpg,F:\Brian\Code\MachineLearning_TermProject\data\IMG\right_2018_12_10_03_34_39_234.jpg,0,1,0,11.63078
F:\Brian\Code\MachineLearning_TermProject\data\IMG\center_2018_12_10_03_34_39_307.jpg,F:\Brian\Code\MachineLearning_TermProject\data\IMG\left_2018_12_10_03_34_39_307.jpg,F:\Brian\Code\MachineLearning_TermProject\data\IMG\right_2018_12_10_03_34_39_307.jpg,-0.15,1,0,12.40472
F:\Brian\Code\MachineLearning_TermProject\data\IMG\center_2018_12_10_03_34_39_375.jpg,F:\Brian\Code\MachineLearning_TermProject\data\IMG\left_2018_12_10_03_34_39_375.jpg,F:\Brian\Code\MachineLearning_TermProject\data\IMG\right_2018_12_10_03_34_39_375.jpg,-0.3,1,0,12.95467
F:\Brian\Code\MachineLearning_TermProject\data\IMG\center_2018_12_10_03_34_39_442.jpg,F:\Brian\Code\MachineLearning_TermProject\data\IMG\left_2018_12_10_03_34_39_442.jpg,F:\Brian\Code\MachineLearning_TermProject\data\IMG\right_2018_12_10_03_34_39_442.jpg,-0.45,1,0,13.7305
F:\Brian\Code\MachineLearning_TermProject\data\IMG\center_2018_12_10_03_34_39_512.jpg,F:\Brian\Code\MachineLearning_TermProject\data\IMG\left_2018_12_10_03_34_39_512.jpg,F:\Brian\Code\MachineLearning_TermProject\data\IMG\right_2018_12_10_03_34_39_512.jpg,-0.6500001,1,0,14.49006
F:\Brian\Code\MachineLearning_TermProject\data\IMG\center_2018_12_10_03_34_39_581.jpg,F:\Brian\Code\MachineLearning_TermProject\data\IMG\left_2018_12_10_03_34_39_581.jpg,F:\Brian\Code\MachineLearning_TermProject\data\IMG\right_2018_12_10_03_34_39_581.jpg,0,1,0,14.90236
F:\Brian\Code\MachineLearning_TermProject\data\IMG\center_2018_12_10_03_34_39_653.jpg,F:\Brian\Code\MachineLearning_TermProject\data\IMG\left_2018_12_10_03_34_39_653.jpg,F:\Brian\Code\MachineLearning_TermProject\data\IMG\right_2018_12_10_03_34_39_653.jpg,0,1,0,15.7226
F:\Brian\Code\MachineLearning_TermProject\data\IMG\center_2018_12_10_03_34_39_724.jpg,F:\Brian\Code\MachineLearning_TermProject\data\IMG\left_2018_12_10_03_34_39_724.jpg,F:\Brian\Code\MachineLearning_TermProject\data\IMG\right_2018_12_10_03_34_39_724.jpg,0,1,0,16.49131
F:\Brian\Code\MachineLearning_TermProject\data\IMG\center_2018_12_10_03_34_39_796.jpg,F:\Brian\Code\MachineLearning_TermProject\data\IMG\left_2018_12_10_03_34_39_796.jpg,F:\Brian\Code\MachineLearning_TermProject\data\IMG\right_2018_12_10_03_34_39_796.jpg,-0.1,1,0,17.29667
F:\Brian\Code\MachineLearning_TermProject\data\IMG\center_2018_12_10_03_34_39_866.jpg,F:\Brian\Code\MachineLearning_TermProject\data\IMG\left_2018_12_10_03_34_39_866.jpg,F:\Brian\Code\MachineLearning_TermProject\data\IMG\right_2018_12_10_03_34_39_866.jpg,-0.3,1,0,18.07271
F:\Brian\Code\MachineLearning_TermProject\data\IMG\center_2018_12_10_03_34_39_936.jpg,F:\Brian\Code\MachineLearning_TermProject\data\IMG\left_2018_12_10_03_34_39_936.jpg,F:\Brian\Code\MachineLearning_TermProject\data\IMG\right_2018_12_10_03_34_39_936.jpg,0,1,0,18.66899
F:\Brian\Code\MachineLearning_TermProject\data\IMG\center_2018_12_10_03_34_40_006.jpg,F:\Brian\Code\MachineLearning_TermProject\data\IMG\left_2018_12_10_03_34_40_006.jpg,F:\Brian\Code\MachineLearning_TermProject\data\IMG\right_2018_12_10_03_34_40_006.jpg,0,1,0,19.49245
F:\Brian\Code\MachineLearning_TermProject\data\IMG\center_2018_12_10_03_34_40_074.jpg,F:\Brian\Code\MachineLearning_TermProject\data\IMG\left_2018_12_10_03_34_40_074.jpg,F:\Brian\Code\MachineLearning_TermProject\data\IMG\right_2018_12_10_03_34_40_074.jpg,0,1,0,20.09485
F:\Brian\Code\MachineLearning_TermProject\data\IMG\center_2018_12_10_03_34_40_140.jpg,F:\Brian\Code\MachineLearning_TermProject\data\IMG\left_2018_12_10_03_34_40_140.jpg,F:\Brian\Code\MachineLearning_TermProject\data\IMG\right_2018_12_10_03_34_40_140.jpg,0,1,0,20.70775
F:\Brian\Code\MachineLearning_TermProject\data\IMG\center_2018_12_10_03_34_40_214.jpg,F:\Brian\Code\MachineLearning_TermProject\data\IMG\left_2018_12_10_03_34_40_214.jpg,F:\Brian\Code\MachineLearning_TermProject\data\IMG\right_2018_12_10_03_34_40_214.jpg,-0.05,1,0,21.5084
F:\Brian\Code\MachineLearning_TermProject\data\IMG\center_2018_12_10_03_34_40_283.jpg,F:\Brian\Code\MachineLearning_TermProject\data\IMG\left_2018_12_10_03_34_40_283.jpg,F:\Brian\Code\MachineLearning_TermProject\data\IMG\right_2018_12_10_03_34_40_283.jpg,-0.2,1,0,22.08749
F:\Brian\Code\MachineLearning_TermProject\data\IMG\center_2018_12_10_03_34_40_353.jpg,F:\Brian\Code\MachineLearning_TermProject\data\IMG\left_2018_12_10_03_34_40_353.jpg,F:\Brian\Code\MachineLearning_TermProject\data\IMG\right_2018_12_10_03_34_40_353.jpg,-0.4,1,0,22.80226
